Treatment,PFT_simple,Mortality_pct_yr,SE_trt_pct,Timeframe
Burn,cedar,7.699104070639454,1.321168236345212,2001-2003
Burn,fir,4.572414772181963,1.0263000498024217,2001-2003
Burn,oak,2.7175546770967065,1.9284198690502086,2001-2003
Burn,other_hardwood,8.040307716811776,4.113931769805075,2001-2003
Burn,pine,1.7229012871379554,1.0928803387174535,2001-2003
Burn,psme,2.5636850282309043,0.8993950378876643,2001-2003
Burn,unknown,0.0,0.0,2001-2003
Burn+Thin,cedar,27.33334699841278,2.130329624264691,2001-2003
Burn+Thin,fir,27.584344171767306,2.5545203717404736,2001-2003
Burn+Thin,oak,12.899195760259538,3.4048570390428052,2001-2003
Burn+Thin,other_hardwood,0.0,0.0,2001-2003
Burn+Thin,pine,8.926238962642602,1.8588685692510036,2001-2003
Burn+Thin,psme,15.287514056862456,3.041879910214103,2001-2003
None,cedar,0.7562367341162546,0.4375297337047174,2001-2003
None,fir,1.0622159760379264,0.5821552714891965,2001-2003
None,oak,0.49620220820578304,0.4460338166677247,2001-2003
None,other_hardwood,1.047054148041234,0.7877329921073191,2001-2003
None,pine,0.5025216160252993,0.46157400034417123,2001-2003
None,psme,0.26646807917643345,0.25424899368595366,2001-2003
Thin,cedar,31.808885102273116,2.0938293105204258,2001-2003
Thin,fir,25.010390009597845,2.610458025157621,2001-2003
Thin,oak,7.476944295635842,3.136865656850972,2001-2003
Thin,other_hardwood,4.782123208824183,2.8714521153782457,2001-2003
Thin,pine,7.254057173147364,2.669919724956384,2001-2003
Thin,psme,18.00767778313625,2.663753815164618,2001-2003
Burn,cedar,3.6035368431264314,1.2035972633733871,2003-2009
Burn,fir,6.678603588497438,1.5532695639274396,2003-2009
Burn,oak,2.919211199698197,2.8569732662759453,2003-2009
Burn,other_hardwood,7.47477392183523,3.0189699326135964,2003-2009
Burn,pine,2.1480383589078693,1.4632412793796985,2003-2009
Burn,psme,2.0074342518335966,1.0640832576004422,2003-2009
Burn,unknown,0.0,0.0,2003-2009
Burn+Thin,cedar,1.8660156316028378,1.2535468156708431,2003-2009
Burn+Thin,fir,3.1211504644959644,1.4482420823065663,2003-2009
Burn+Thin,oak,0.9179033001517076,0.9023741254649078,2003-2009
Burn+Thin,other_hardwood,0.0,0.0,2003-2009
Burn+Thin,pine,0.7265966258299001,0.6817163513256139,2003-2009
Burn+Thin,psme,1.0041021821607476,1.0407154159558578,2003-2009
None,cedar,0.6061136588700656,0.3393546844991323,2003-2009
None,fir,0.5253486757729617,0.3630790669889574,2003-2009
None,oak,0.443620073427399,0.5123617444789027,2003-2009
None,other_hardwood,1.2341637290746823,0.9067709076272147,2003-2009
None,pine,0.1675506020921355,0.36585230361442117,2003-2009
None,psme,0.044172872791196825,0.10571793626051211,2003-2009
Thin,cedar,0.14588496222113267,0.2482287631544319,2003-2009
Thin,fir,1.2609928868531124,1.0557385722905681,2003-2009
Thin,oak,0.22293193810982606,0.5029617303126639,2003-2009
Thin,other_hardwood,0.0,0.0,2003-2009
Thin,pine,0.0,0.0,2003-2009
Thin,psme,0.0,0.0,2003-2009
Burn,cedar,1.5635441547120363,0.7490571609001483,2009-2016
Burn,fir,2.4968340180610866,1.126108172765175,2009-2016
Burn,oak,0.0,0.0,2009-2016
Burn,other_hardwood,5.629348211024983,3.021287021518333,2009-2016
Burn,pine,0.34497622037792475,0.5866975202640086,2009-2016
Burn,psme,1.1117577091453092,0.7230074827979809,2009-2016
Burn+Thin,cedar,0.8318376070050827,0.7849213647593931,2009-2016
Burn+Thin,fir,2.4448844094350473,1.7544993479425521,2009-2016
Burn+Thin,oak,4.00646877983337,6.943483351878914,2009-2016
Burn+Thin,other_hardwood,0.0,0.0,2009-2016
Burn+Thin,pine,0.44673427064488647,0.7025491825938434,2009-2016
Burn+Thin,psme,0.11184552836471487,0.2730259149879993,2009-2016
None,cedar,1.16341818955568,0.5314110355769254,2009-2016
None,fir,2.017431129621045,0.9008417866639415,2009-2016
None,oak,0.5148313692376534,0.9110051937326508,2009-2016
None,other_hardwood,7.45935640580128,10.178847836303092,2009-2016
None,pine,0.4102447425344872,0.6324521477967604,2009-2016
None,psme,0.3300426100501535,0.38546463070912623,2009-2016
Thin,cedar,0.7317849012120992,0.7224194141302511,2009-2016
Thin,fir,1.0300538213399344,0.8300100298244638,2009-2016
Thin,oak,0.3126552364694557,0.7391933078362407,2009-2016
Thin,other_hardwood,0.0,0.0,2009-2016
Thin,pine,0.8978698641532693,1.3914894241791653,2009-2016
Thin,psme,0.5803374571315046,0.7004895081078839,2009-2016
Burn,cedar,1.0372354032102593,0.6531917973517439,2016-2020
Burn,fir,2.3749687356894507,1.1001710215919815,2016-2020
Burn,oak,5.182564573534078,5.043944001244318,2016-2020
Burn,other_hardwood,8.234448206431157,3.9546651763409484,2016-2020
Burn,pine,0.4590380780483582,0.8114143316160486,2016-2020
Burn,psme,0.9340485669205365,0.8684196347457738,2016-2020
Burn+Thin,cedar,2.426210281164142,1.36782459292094,2016-2020
Burn+Thin,fir,4.306930831377054,2.3078006447415667,2016-2020
Burn+Thin,oak,3.2931302285074993,2.1191069888466507,2016-2020
Burn+Thin,other_hardwood,0.0,0.0,2016-2020
Burn+Thin,pine,3.4594702207871024,1.6277093868407662,2016-2020
Burn+Thin,psme,1.2099027245293725,1.0829816728986958,2016-2020
None,cedar,1.8128351327305048,0.7543244361883835,2016-2020
None,fir,3.492094621567653,1.0758111166624265,2016-2020
None,oak,0.5888263423558314,0.6945904620504494,2016-2020
None,other_hardwood,0.9197405997179053,0.8951591465453836,2016-2020
None,pine,1.3411238229141995,0.9854842752303052,2016-2020
None,psme,0.5824183330023152,0.505547655527976,2016-2020
Thin,cedar,5.168276415047346,1.5056963325923778,2016-2020
Thin,fir,6.703693167996545,2.27774859966256,2016-2020
Thin,oak,2.2948384876693204,1.3768688918524963,2016-2020
Thin,other_hardwood,2.163598370614669,3.0288544338402192,2016-2020
Thin,pine,2.783703120057836,1.754143827532384,2016-2020
Thin,psme,5.869943338534561,1.9311627572405514,2016-2020
