Unit,Treatment,Year,Size_class,TPH
40,None,2001,20.0,98.75
40,None,2001,30,108.75
40,None,2001,40,73.75
40,None,2001,50,47.5
40,None,2001,60,40.0
40,None,2001,70,25.0
40,None,2001,80.0,17.5
40,None,2001,90.0,11.25
40,None,2001,100.0,5.0
40,None,2001,152.9,2.5
40,None,2003,20.0,91.25
40,None,2003,30,103.75
40,None,2003,40,76.25
40,None,2003,50,46.25
40,None,2003,60,41.25
40,None,2003,70,26.25
40,None,2003,80.0,18.75
40,None,2003,90.0,12.5
40,None,2003,100.0,5.0
40,None,2003,152.9,2.5
40,None,2009,20.0,90.0
40,None,2009,30,93.75
40,None,2009,40,77.5
40,None,2009,50,42.5
40,None,2009,60,37.5
40,None,2009,70,35.0
40,None,2009,80.0,13.75
40,None,2009,90.0,18.75
40,None,2009,100.0,2.5
40,None,2009,152.9,6.25
40,None,2016,20.0,76.25
40,None,2016,30,78.75
40,None,2016,40,65.0
40,None,2016,50,35.0
40,None,2016,60,30.0
40,None,2016,70,33.75
40,None,2016,80.0,15.0
40,None,2016,90.0,17.5
40,None,2016,100.0,12.5
40,None,2016,152.9,6.25
40,None,2020,20.0,57.5
40,None,2020,30,83.75
40,None,2020,40,58.75
40,None,2020,50,37.5
40,None,2020,60,28.75
40,None,2020,70,36.25
40,None,2020,80.0,18.75
40,None,2020,90.0,15.0
40,None,2020,100.0,15.0
40,None,2020,152.9,7.5
60,Burn,2001,20.0,64.47368421052632
60,Burn,2001,30,71.05263157894737
60,Burn,2001,40,42.10526315789474
60,Burn,2001,50,59.21052631578947
60,Burn,2001,60,28.94736842105263
60,Burn,2001,70,23.68421052631579
60,Burn,2001,80.0,11.842105263157896
60,Burn,2001,90.0,6.578947368421052
60,Burn,2001,100.0,0.0
60,Burn,2001,152.9,1.3157894736842106
60,Burn,2003,20.0,47.36842105263158
60,Burn,2003,30,67.10526315789474
60,Burn,2003,40,38.1578947368421
60,Burn,2003,50,52.63157894736842
60,Burn,2003,60,35.526315789473685
60,Burn,2003,70,22.36842105263158
60,Burn,2003,80.0,13.157894736842104
60,Burn,2003,90.0,5.2631578947368425
60,Burn,2003,100.0,0.0
60,Burn,2003,152.9,1.3157894736842106
60,Burn,2009,20.0,26.31578947368421
60,Burn,2009,30,52.63157894736842
60,Burn,2009,40,36.8421052631579
60,Burn,2009,50,40.78947368421053
60,Burn,2009,60,40.78947368421053
60,Burn,2009,70,15.789473684210526
60,Burn,2009,80.0,17.105263157894736
60,Burn,2009,90.0,6.578947368421052
60,Burn,2009,100.0,2.6315789473684212
60,Burn,2009,152.9,1.3157894736842106
60,Burn,2016,20.0,14.473684210526315
60,Burn,2016,30,46.05263157894737
60,Burn,2016,40,27.63157894736842
60,Burn,2016,50,42.10526315789474
60,Burn,2016,60,31.57894736842105
60,Burn,2016,70,21.05263157894737
60,Burn,2016,80.0,21.05263157894737
60,Burn,2016,90.0,11.842105263157896
60,Burn,2016,100.0,2.6315789473684212
60,Burn,2016,152.9,2.6315789473684212
60,Burn,2020,20.0,9.210526315789474
60,Burn,2020,30,43.421052631578945
60,Burn,2020,40,23.68421052631579
60,Burn,2020,50,38.1578947368421
60,Burn,2020,60,28.94736842105263
60,Burn,2020,70,27.63157894736842
60,Burn,2020,80.0,21.05263157894737
60,Burn,2020,90.0,10.526315789473685
60,Burn,2020,100.0,2.6315789473684212
60,Burn,2020,152.9,3.9473684210526314
180,Burn+Thin,2001,20.0,118.75
180,Burn+Thin,2001,30,106.25
180,Burn+Thin,2001,40,42.1875
180,Burn+Thin,2001,50,39.0625
180,Burn+Thin,2001,60,26.5625
180,Burn+Thin,2001,70,18.75
180,Burn+Thin,2001,80.0,14.0625
180,Burn+Thin,2001,90.0,10.9375
180,Burn+Thin,2001,100.0,4.6875
180,Burn+Thin,2001,152.9,7.8125
180,Burn+Thin,2003,20.0,15.625
180,Burn+Thin,2003,30,39.0625
180,Burn+Thin,2003,40,15.625
180,Burn+Thin,2003,50,20.3125
180,Burn+Thin,2003,60,25.0
180,Burn+Thin,2003,70,12.5
180,Burn+Thin,2003,80.0,12.5
180,Burn+Thin,2003,90.0,10.9375
180,Burn+Thin,2003,100.0,6.25
180,Burn+Thin,2003,152.9,7.8125
180,Burn+Thin,2009,20.0,4.6875
180,Burn+Thin,2009,30,12.5
180,Burn+Thin,2009,40,15.625
180,Burn+Thin,2009,50,12.5
180,Burn+Thin,2009,60,25.0
180,Burn+Thin,2009,70,14.0625
180,Burn+Thin,2009,80.0,12.5
180,Burn+Thin,2009,90.0,12.5
180,Burn+Thin,2009,100.0,6.25
180,Burn+Thin,2009,152.9,9.375
180,Burn+Thin,2016,20.0,3.125
180,Burn+Thin,2016,30,7.8125
180,Burn+Thin,2016,40,15.625
180,Burn+Thin,2016,50,3.125
180,Burn+Thin,2016,60,20.3125
180,Burn+Thin,2016,70,18.75
180,Burn+Thin,2016,80.0,9.375
180,Burn+Thin,2016,90.0,14.0625
180,Burn+Thin,2016,100.0,7.8125
180,Burn+Thin,2016,152.9,10.9375
180,Burn+Thin,2020,20.0,0.0
180,Burn+Thin,2020,30,1.5625
180,Burn+Thin,2020,40,4.6875
180,Burn+Thin,2020,50,1.5625
180,Burn+Thin,2020,60,10.9375
180,Burn+Thin,2020,70,17.1875
180,Burn+Thin,2020,80.0,6.25
180,Burn+Thin,2020,90.0,9.375
180,Burn+Thin,2020,100.0,3.125
180,Burn+Thin,2020,152.9,7.8125
190,Thin,2001,20.0,60.714285714285715
190,Thin,2001,30,80.35714285714286
190,Thin,2001,40,41.07142857142857
190,Thin,2001,50,51.785714285714285
190,Thin,2001,60,39.285714285714285
190,Thin,2001,70,16.071428571428573
190,Thin,2001,80.0,26.785714285714285
190,Thin,2001,90.0,12.5
190,Thin,2001,100.0,1.7857142857142858
190,Thin,2001,152.9,0.0
190,Thin,2003,20.0,37.5
190,Thin,2003,30,50.0
190,Thin,2003,40,16.071428571428573
190,Thin,2003,50,39.285714285714285
190,Thin,2003,60,33.92857142857143
190,Thin,2003,70,12.5
190,Thin,2003,80.0,25.0
190,Thin,2003,90.0,14.285714285714286
190,Thin,2003,100.0,1.7857142857142858
190,Thin,2003,152.9,0.0
190,Thin,2009,20.0,25.0
190,Thin,2009,30,48.214285714285715
190,Thin,2009,40,21.428571428571427
190,Thin,2009,50,23.214285714285715
190,Thin,2009,60,33.92857142857143
190,Thin,2009,70,28.571428571428573
190,Thin,2009,80.0,17.857142857142858
190,Thin,2009,90.0,23.214285714285715
190,Thin,2009,100.0,1.7857142857142858
190,Thin,2009,152.9,1.7857142857142858
190,Thin,2016,20.0,19.642857142857142
190,Thin,2016,30,44.642857142857146
190,Thin,2016,40,26.785714285714285
190,Thin,2016,50,16.071428571428573
190,Thin,2016,60,25.0
190,Thin,2016,70,30.357142857142858
190,Thin,2016,80.0,21.428571428571427
190,Thin,2016,90.0,17.857142857142858
190,Thin,2016,100.0,8.928571428571429
190,Thin,2016,152.9,3.5714285714285716
190,Thin,2020,20.0,10.714285714285714
190,Thin,2020,30,39.285714285714285
190,Thin,2020,40,21.428571428571427
190,Thin,2020,50,7.142857142857143
190,Thin,2020,60,16.071428571428573
190,Thin,2020,70,26.785714285714285
190,Thin,2020,80.0,17.857142857142858
190,Thin,2020,90.0,21.428571428571427
190,Thin,2020,100.0,10.714285714285714
190,Thin,2020,152.9,3.5714285714285716
240,None,2001,20.0,133.33333333333334
240,None,2001,30,191.66666666666666
240,None,2001,40,62.5
240,None,2001,50,55.55555555555556
240,None,2001,60,29.166666666666668
240,None,2001,70,23.61111111111111
240,None,2001,80.0,12.5
240,None,2001,90.0,4.166666666666667
240,None,2001,100.0,2.7777777777777777
240,None,2001,152.9,0.0
240,None,2003,20.0,125.0
240,None,2003,30,186.11111111111111
240,None,2003,40,70.83333333333333
240,None,2003,50,55.55555555555556
240,None,2003,60,26.38888888888889
240,None,2003,70,26.38888888888889
240,None,2003,80.0,13.88888888888889
240,None,2003,90.0,4.166666666666667
240,None,2003,100.0,2.7777777777777777
240,None,2003,152.9,0.0
240,None,2009,20.0,102.77777777777777
240,None,2009,30,184.72222222222223
240,None,2009,40,77.77777777777777
240,None,2009,50,50.0
240,None,2009,60,37.5
240,None,2009,70,25.0
240,None,2009,80.0,18.055555555555557
240,None,2009,90.0,6.944444444444445
240,None,2009,100.0,1.3888888888888888
240,None,2009,152.9,2.7777777777777777
240,None,2016,20.0,86.11111111111111
240,None,2016,30,162.5
240,None,2016,40,86.11111111111111
240,None,2016,50,48.611111111111114
240,None,2016,60,37.5
240,None,2016,70,20.833333333333332
240,None,2016,80.0,20.833333333333332
240,None,2016,90.0,13.88888888888889
240,None,2016,100.0,1.3888888888888888
240,None,2016,152.9,4.166666666666667
240,None,2020,20.0,77.77777777777777
240,None,2020,30,148.61111111111111
240,None,2020,40,80.55555555555556
240,None,2020,50,43.05555555555556
240,None,2020,60,34.72222222222222
240,None,2020,70,23.61111111111111
240,None,2020,80.0,19.444444444444443
240,None,2020,90.0,15.277777777777779
240,None,2020,100.0,4.166666666666667
240,None,2020,152.9,4.166666666666667
340,Burn,2001,20.0,92.5
340,Burn,2001,30,135.0
340,Burn,2001,40,68.75
340,Burn,2001,50,46.25
340,Burn,2001,60,27.5
340,Burn,2001,70,25.0
340,Burn,2001,80.0,13.75
340,Burn,2001,90.0,7.5
340,Burn,2001,100.0,2.5
340,Burn,2001,152.9,1.25
340,Burn,2003,20.0,77.5
340,Burn,2003,30,122.5
340,Burn,2003,40,66.25
340,Burn,2003,50,45.0
340,Burn,2003,60,32.5
340,Burn,2003,70,26.25
340,Burn,2003,80.0,12.5
340,Burn,2003,90.0,8.75
340,Burn,2003,100.0,1.25
340,Burn,2003,152.9,1.25
340,Burn,2009,20.0,35.0
340,Burn,2009,30,63.75
340,Burn,2009,40,61.25
340,Burn,2009,50,40.0
340,Burn,2009,60,27.5
340,Burn,2009,70,18.75
340,Burn,2009,80.0,21.25
340,Burn,2009,90.0,7.5
340,Burn,2009,100.0,5.0
340,Burn,2009,152.9,2.5
340,Burn,2016,20.0,28.75
340,Burn,2016,30,52.5
340,Burn,2016,40,42.5
340,Burn,2016,50,32.5
340,Burn,2016,60,33.75
340,Burn,2016,70,18.75
340,Burn,2016,80.0,17.5
340,Burn,2016,90.0,15.0
340,Burn,2016,100.0,6.25
340,Burn,2016,152.9,3.75
340,Burn,2020,20.0,16.25
340,Burn,2020,30,45.0
340,Burn,2020,40,32.5
340,Burn,2020,50,26.25
340,Burn,2020,60,25.0
340,Burn,2020,70,20.0
340,Burn,2020,80.0,21.25
340,Burn,2020,90.0,12.5
340,Burn,2020,100.0,5.0
340,Burn,2020,152.9,5.0
350,Thin,2001,20.0,135.2941176470588
350,Thin,2001,30,147.05882352941177
350,Thin,2001,40,66.17647058823529
350,Thin,2001,50,36.76470588235294
350,Thin,2001,60,42.64705882352941
350,Thin,2001,70,19.11764705882353
350,Thin,2001,80.0,13.235294117647058
350,Thin,2001,90.0,13.235294117647058
350,Thin,2001,100.0,1.4705882352941178
350,Thin,2001,152.9,0.0
350,Thin,2003,20.0,27.941176470588236
350,Thin,2003,30,55.88235294117647
350,Thin,2003,40,13.235294117647058
350,Thin,2003,50,20.58823529411765
350,Thin,2003,60,35.294117647058826
350,Thin,2003,70,20.58823529411765
350,Thin,2003,80.0,13.235294117647058
350,Thin,2003,90.0,11.764705882352942
350,Thin,2003,100.0,2.9411764705882355
350,Thin,2003,152.9,0.0
350,Thin,2009,20.0,19.11764705882353
350,Thin,2009,30,51.470588235294116
350,Thin,2009,40,16.176470588235293
350,Thin,2009,50,16.176470588235293
350,Thin,2009,60,33.8235294117647
350,Thin,2009,70,25.0
350,Thin,2009,80.0,19.11764705882353
350,Thin,2009,90.0,8.823529411764707
350,Thin,2009,100.0,8.823529411764707
350,Thin,2009,152.9,1.4705882352941178
350,Thin,2016,20.0,14.705882352941176
350,Thin,2016,30,47.05882352941177
350,Thin,2016,40,22.058823529411764
350,Thin,2016,50,13.235294117647058
350,Thin,2016,60,19.11764705882353
350,Thin,2016,70,30.88235294117647
350,Thin,2016,80.0,22.058823529411764
350,Thin,2016,90.0,16.176470588235293
350,Thin,2016,100.0,5.882352941176471
350,Thin,2016,152.9,7.352941176470588
350,Thin,2020,20.0,19.11764705882353
350,Thin,2020,30,29.41176470588235
350,Thin,2020,40,25.0
350,Thin,2020,50,7.352941176470588
350,Thin,2020,60,14.705882352941176
350,Thin,2020,70,26.470588235294116
350,Thin,2020,80.0,16.176470588235293
350,Thin,2020,90.0,14.705882352941176
350,Thin,2020,100.0,5.882352941176471
350,Thin,2020,152.9,8.823529411764707
380,Burn+Thin,2001,20.0,81.25
380,Burn+Thin,2001,30,100.0
380,Burn+Thin,2001,40,27.5
380,Burn+Thin,2001,50,22.5
380,Burn+Thin,2001,60,31.25
380,Burn+Thin,2001,70,27.5
380,Burn+Thin,2001,80.0,21.25
380,Burn+Thin,2001,90.0,15.0
380,Burn+Thin,2001,100.0,6.25
380,Burn+Thin,2001,152.9,5.0
380,Burn+Thin,2003,20.0,23.75
380,Burn+Thin,2003,30,27.5
380,Burn+Thin,2003,40,13.75
380,Burn+Thin,2003,50,20.0
380,Burn+Thin,2003,60,20.0
380,Burn+Thin,2003,70,21.25
380,Burn+Thin,2003,80.0,18.75
380,Burn+Thin,2003,90.0,17.5
380,Burn+Thin,2003,100.0,5.0
380,Burn+Thin,2003,152.9,5.0
380,Burn+Thin,2009,20.0,8.75
380,Burn+Thin,2009,30,16.25
380,Burn+Thin,2009,40,15.0
380,Burn+Thin,2009,50,16.25
380,Burn+Thin,2009,60,12.5
380,Burn+Thin,2009,70,16.25
380,Burn+Thin,2009,80.0,21.25
380,Burn+Thin,2009,90.0,16.25
380,Burn+Thin,2009,100.0,6.25
380,Burn+Thin,2009,152.9,7.5
380,Burn+Thin,2016,20.0,6.25
380,Burn+Thin,2016,30,17.5
380,Burn+Thin,2016,40,16.25
380,Burn+Thin,2016,50,13.75
380,Burn+Thin,2016,60,13.75
380,Burn+Thin,2016,70,16.25
380,Burn+Thin,2016,80.0,16.25
380,Burn+Thin,2016,90.0,16.25
380,Burn+Thin,2016,100.0,8.75
380,Burn+Thin,2016,152.9,8.75
380,Burn+Thin,2020,20.0,1.25
380,Burn+Thin,2020,30,3.75
380,Burn+Thin,2020,40,5.0
380,Burn+Thin,2020,50,6.25
380,Burn+Thin,2020,60,10.0
380,Burn+Thin,2020,70,12.5
380,Burn+Thin,2020,80.0,12.5
380,Burn+Thin,2020,90.0,11.25
380,Burn+Thin,2020,100.0,10.0
380,Burn+Thin,2020,152.9,5.0
400,Burn,2001,20.0,111.25
400,Burn,2001,30,137.5
400,Burn,2001,40,38.75
400,Burn,2001,50,48.75
400,Burn,2001,60,31.25
400,Burn,2001,70,25.0
400,Burn,2001,80.0,12.5
400,Burn,2001,90.0,8.75
400,Burn,2001,100.0,5.0
400,Burn,2001,152.9,0.0
400,Burn,2003,20.0,87.5
400,Burn,2003,30,125.0
400,Burn,2003,40,41.25
400,Burn,2003,50,41.25
400,Burn,2003,60,35.0
400,Burn,2003,70,25.0
400,Burn,2003,80.0,16.25
400,Burn,2003,90.0,7.5
400,Burn,2003,100.0,6.25
400,Burn,2003,152.9,0.0
400,Burn,2009,20.0,35.0
400,Burn,2009,30,86.25
400,Burn,2009,40,40.0
400,Burn,2009,50,33.75
400,Burn,2009,60,33.75
400,Burn,2009,70,25.0
400,Burn,2009,80.0,22.5
400,Burn,2009,90.0,8.75
400,Burn,2009,100.0,7.5
400,Burn,2009,152.9,1.25
400,Burn,2016,20.0,16.25
400,Burn,2016,30,48.75
400,Burn,2016,40,38.75
400,Burn,2016,50,22.5
400,Burn,2016,60,32.5
400,Burn,2016,70,31.25
400,Burn,2016,80.0,25.0
400,Burn,2016,90.0,12.5
400,Burn,2016,100.0,8.75
400,Burn,2016,152.9,3.75
400,Burn,2020,20.0,12.5
400,Burn,2020,30,46.25
400,Burn,2020,40,31.25
400,Burn,2020,50,23.75
400,Burn,2020,60,26.25
400,Burn,2020,70,26.25
400,Burn,2020,80.0,26.25
400,Burn,2020,90.0,17.5
400,Burn,2020,100.0,7.5
400,Burn,2020,152.9,5.0
490,Thin,2001,20.0,77.5
490,Thin,2001,30,102.5
490,Thin,2001,40,55.0
490,Thin,2001,50,30.0
490,Thin,2001,60,26.25
490,Thin,2001,70,23.75
490,Thin,2001,80.0,13.75
490,Thin,2001,90.0,15.0
490,Thin,2001,100.0,2.5
490,Thin,2001,152.9,2.5
490,Thin,2003,20.0,28.75
490,Thin,2003,30,51.25
490,Thin,2003,40,25.0
490,Thin,2003,50,17.5
490,Thin,2003,60,18.75
490,Thin,2003,70,22.5
490,Thin,2003,80.0,12.5
490,Thin,2003,90.0,15.0
490,Thin,2003,100.0,6.25
490,Thin,2003,152.9,2.5
490,Thin,2009,20.0,23.75
490,Thin,2009,30,53.75
490,Thin,2009,40,21.25
490,Thin,2009,50,23.75
490,Thin,2009,60,16.25
490,Thin,2009,70,23.75
490,Thin,2009,80.0,17.5
490,Thin,2009,90.0,12.5
490,Thin,2009,100.0,11.25
490,Thin,2009,152.9,5.0
490,Thin,2016,20.0,20.0
490,Thin,2016,30,41.25
490,Thin,2016,40,31.25
490,Thin,2016,50,26.25
490,Thin,2016,60,17.5
490,Thin,2016,70,20.0
490,Thin,2016,80.0,13.75
490,Thin,2016,90.0,18.75
490,Thin,2016,100.0,7.5
490,Thin,2016,152.9,16.25
490,Thin,2020,20.0,11.25
490,Thin,2020,30,30.0
490,Thin,2020,40,31.25
490,Thin,2020,50,16.25
490,Thin,2020,60,8.75
490,Thin,2020,70,7.5
490,Thin,2020,80.0,13.75
490,Thin,2020,90.0,8.75
490,Thin,2020,100.0,10.0
490,Thin,2020,152.9,12.5
570,Burn+Thin,2001,20.0,56.94444444444444
570,Burn+Thin,2001,30,162.5
570,Burn+Thin,2001,40,90.27777777777777
570,Burn+Thin,2001,50,55.55555555555556
570,Burn+Thin,2001,60,36.111111111111114
570,Burn+Thin,2001,70,19.444444444444443
570,Burn+Thin,2001,80.0,6.944444444444445
570,Burn+Thin,2001,90.0,2.7777777777777777
570,Burn+Thin,2001,100.0,4.166666666666667
570,Burn+Thin,2001,152.9,4.166666666666667
570,Burn+Thin,2003,20.0,8.333333333333334
570,Burn+Thin,2003,30,34.72222222222222
570,Burn+Thin,2003,40,37.5
570,Burn+Thin,2003,50,36.111111111111114
570,Burn+Thin,2003,60,30.555555555555557
570,Burn+Thin,2003,70,19.444444444444443
570,Burn+Thin,2003,80.0,6.944444444444445
570,Burn+Thin,2003,90.0,2.7777777777777777
570,Burn+Thin,2003,100.0,4.166666666666667
570,Burn+Thin,2003,152.9,2.7777777777777777
570,Burn+Thin,2009,20.0,6.944444444444445
570,Burn+Thin,2009,30,30.555555555555557
570,Burn+Thin,2009,40,25.0
570,Burn+Thin,2009,50,27.77777777777778
570,Burn+Thin,2009,60,33.333333333333336
570,Burn+Thin,2009,70,19.444444444444443
570,Burn+Thin,2009,80.0,13.88888888888889
570,Burn+Thin,2009,90.0,5.555555555555555
570,Burn+Thin,2009,100.0,2.7777777777777777
570,Burn+Thin,2009,152.9,2.7777777777777777
570,Burn+Thin,2016,20.0,5.555555555555555
570,Burn+Thin,2016,30,25.0
570,Burn+Thin,2016,40,15.277777777777779
570,Burn+Thin,2016,50,18.055555555555557
570,Burn+Thin,2016,60,37.5
570,Burn+Thin,2016,70,12.5
570,Burn+Thin,2016,80.0,22.22222222222222
570,Burn+Thin,2016,90.0,8.333333333333334
570,Burn+Thin,2016,100.0,4.166666666666667
570,Burn+Thin,2016,152.9,4.166666666666667
570,Burn+Thin,2020,20.0,4.166666666666667
570,Burn+Thin,2020,30,15.277777777777779
570,Burn+Thin,2020,40,18.055555555555557
570,Burn+Thin,2020,50,13.88888888888889
570,Burn+Thin,2020,60,36.111111111111114
570,Burn+Thin,2020,70,20.833333333333332
570,Burn+Thin,2020,80.0,20.833333333333332
570,Burn+Thin,2020,90.0,8.333333333333334
570,Burn+Thin,2020,100.0,5.555555555555555
570,Burn+Thin,2020,152.9,4.166666666666667
590,None,2001,20.0,98.52941176470588
590,None,2001,30,116.17647058823529
590,None,2001,40,60.294117647058826
590,None,2001,50,33.8235294117647
590,None,2001,60,22.058823529411764
590,None,2001,70,27.941176470588236
590,None,2001,80.0,17.647058823529413
590,None,2001,90.0,16.176470588235293
590,None,2001,100.0,0.0
590,None,2001,152.9,0.0
590,None,2003,20.0,95.58823529411765
590,None,2003,30,108.82352941176471
590,None,2003,40,58.8235294117647
590,None,2003,50,42.64705882352941
590,None,2003,60,22.058823529411764
590,None,2003,70,25.0
590,None,2003,80.0,20.58823529411765
590,None,2003,90.0,17.647058823529413
590,None,2003,100.0,0.0
590,None,2003,152.9,0.0
590,None,2009,20.0,80.88235294117646
590,None,2009,30,130.88235294117646
590,None,2009,40,57.35294117647059
590,None,2009,50,39.705882352941174
590,None,2009,60,22.058823529411764
590,None,2009,70,30.88235294117647
590,None,2009,80.0,23.529411764705884
590,None,2009,90.0,10.294117647058824
590,None,2009,100.0,8.823529411764707
590,None,2009,152.9,0.0
590,None,2016,20.0,70.58823529411765
590,None,2016,30,123.52941176470588
590,None,2016,40,63.23529411764706
590,None,2016,50,39.705882352941174
590,None,2016,60,32.35294117647059
590,None,2016,70,29.41176470588235
590,None,2016,80.0,20.58823529411765
590,None,2016,90.0,16.176470588235293
590,None,2016,100.0,16.176470588235293
590,None,2016,152.9,1.4705882352941178
590,None,2020,20.0,76.47058823529412
590,None,2020,30,111.76470588235294
590,None,2020,40,67.6470588235294
590,None,2020,50,36.76470588235294
590,None,2020,60,32.35294117647059
590,None,2020,70,17.647058823529413
590,None,2020,80.0,22.058823529411764
590,None,2020,90.0,20.58823529411765
590,None,2020,100.0,14.705882352941176
590,None,2020,152.9,4.411764705882353
