,Unit,Treatment,Year,PFT_simple,BAperTree_m2ha
0,1,Burn+Thin,2012,cedar,2.0267199606471147
1,1,Burn+Thin,2012,fir,37.34682586020872
2,1,Burn+Thin,2012,pine,12.904811772936522
3,1,Burn+Thin,2014,cedar,2.0799525028329424
4,1,Burn+Thin,2014,fir,38.95272948490748
5,1,Burn+Thin,2014,pine,12.950469586168694
6,1,Burn+Thin,2016,cedar,2.147132407403769
7,1,Burn+Thin,2016,fir,39.60225376603717
8,1,Burn+Thin,2016,pine,13.30303918504094
9,1,Burn+Thin,2018,cedar,2.1914790420353802
10,1,Burn+Thin,2018,fir,38.63813170557394
11,1,Burn+Thin,2018,pine,13.379323163322482
12,2,Burn+Thin,2012,cedar,12.853581996067359
13,2,Burn+Thin,2012,fir,26.989882817580128
14,2,Burn+Thin,2012,pine,7.842948971440314
15,2,Burn+Thin,2014,cedar,12.591992047778449
16,2,Burn+Thin,2014,fir,26.90977874989828
17,2,Burn+Thin,2014,pine,8.010633660987233
18,2,Burn+Thin,2016,cedar,12.637425149869427
19,2,Burn+Thin,2016,fir,24.512147961602025
20,2,Burn+Thin,2016,pine,8.121673689660676
21,2,Burn+Thin,2018,cedar,12.83179592367934
22,2,Burn+Thin,2018,fir,21.214682134178183
23,2,Burn+Thin,2018,pine,8.400001345476213
24,3,Burn,2012,cedar,19.47427580150526
25,3,Burn,2012,fir,29.173203776175985
26,3,Burn,2012,oak,2.6369656069606724
27,3,Burn,2012,pine,7.399281912260225
28,3,Burn,2014,cedar,13.40881704601962
29,3,Burn,2014,fir,24.38248090648667
30,3,Burn,2014,oak,2.6417347191417475
31,3,Burn,2014,pine,6.8592508617544
32,3,Burn,2016,cedar,10.8510326638988
33,3,Burn,2016,fir,21.024905939624148
34,3,Burn,2016,oak,2.6429891745416176
35,3,Burn,2016,pine,2.640458447126226
36,3,Burn,2018,cedar,10.342064110755343
37,3,Burn,2018,fir,18.774042069789658
38,3,Burn,2018,oak,1.8472063020948035
39,3,Burn,2018,pine,2.7670864476815447
40,4,Thin,2012,cedar,4.750369526569651
41,4,Thin,2012,fir,12.239313365827954
42,4,Thin,2012,pine,9.033165346530021
43,4,Thin,2012,psme,0.7671791076681925
44,4,Thin,2014,cedar,4.939096341910928
45,4,Thin,2014,fir,12.741582036305317
46,4,Thin,2014,pine,9.30464258503148
47,4,Thin,2014,psme,0.8198007846158214
48,4,Thin,2016,cedar,5.211014276048514
49,4,Thin,2016,fir,13.290978959909658
50,4,Thin,2016,pine,9.682148575591594
51,4,Thin,2016,psme,0.8741677908154448
52,4,Thin,2018,cedar,5.535599702026595
53,4,Thin,2018,fir,12.802448212307056
54,4,Thin,2018,pine,10.068245949394647
55,4,Thin,2018,psme,0.9217520112095052
56,5,Thin,2012,cedar,8.382829487298155
57,5,Thin,2012,fir,10.036101347896043
58,5,Thin,2012,pine,14.994402856563603
59,5,Thin,2014,cedar,8.603120582161749
60,5,Thin,2014,fir,10.372515742879516
61,5,Thin,2014,pine,15.464690550159736
62,5,Thin,2016,cedar,8.91072231827175
63,5,Thin,2016,fir,10.194793228472063
64,5,Thin,2016,pine,15.972662083967991
65,5,Thin,2018,cedar,9.238806583984688
66,5,Thin,2018,fir,10.544310682814881
67,5,Thin,2018,pine,16.12197718313767
68,6,None,2012,cedar,23.3431591535397
69,6,None,2012,fir,30.165212685610967
70,6,None,2012,pine,18.804925670903696
71,6,None,2014,cedar,23.625073460968082
72,6,None,2014,fir,30.544799981304084
73,6,None,2014,pine,19.019830243363323
74,6,None,2016,cedar,23.944878866457262
75,6,None,2016,fir,26.547553116939376
76,6,None,2016,pine,19.463143873369884
77,6,None,2018,cedar,24.261108528641422
78,6,None,2018,fir,15.340154763045245
79,6,None,2018,pine,19.528436640686994
80,7,None,2012,cedar,18.241151597586054
81,7,None,2012,fir,29.618793730042842
82,7,None,2012,oak,0.5967564328572063
83,7,None,2012,pine,17.90873836991278
84,7,None,2014,cedar,18.32570407319892
85,7,None,2014,fir,29.061479556619144
86,7,None,2014,oak,0.5898711089580885
87,7,None,2014,pine,18.180673757342888
88,7,None,2016,cedar,18.343807500865232
89,7,None,2016,fir,27.718271982622742
90,7,None,2016,oak,0.6033995923226096
91,7,None,2016,pine,15.096018107276278
92,7,None,2018,cedar,18.7893704239453
93,7,None,2018,fir,19.488479509124147
94,7,None,2018,oak,0.6071345969218774
95,7,None,2018,pine,15.389198515026287
96,8,Thin,2012,cedar,13.759774396995335
97,8,Thin,2012,fir,11.08620487229721
98,8,Thin,2012,oak,0.41103594715248953
99,8,Thin,2012,other_hardwood,0.07306166415004761
100,8,Thin,2012,pine,19.21379086479902
101,8,Thin,2014,cedar,14.042768626898392
102,8,Thin,2014,fir,11.567782664492182
103,8,Thin,2014,oak,0.41438697931631874
104,8,Thin,2014,other_hardwood,0.06912376502523543
105,8,Thin,2014,pine,17.366665284182123
106,8,Thin,2016,cedar,14.519501494172903
107,8,Thin,2016,fir,12.044227007024723
108,8,Thin,2016,oak,0.42394920195568253
109,8,Thin,2016,other_hardwood,0.0699026182039379
110,8,Thin,2016,pine,18.277419539442498
111,8,Thin,2018,cedar,15.136767181987215
112,8,Thin,2018,fir,9.000734947366402
113,8,Thin,2018,oak,0.43909211487829847
114,8,Thin,2018,pine,17.8993703151527
115,9,Thin,2012,cedar,4.669720043496557
116,9,Thin,2012,fir,13.128892413938509
117,9,Thin,2012,pine,14.952997101721603
118,9,Thin,2014,cedar,4.870539808892591
119,9,Thin,2014,fir,13.8413729028492
120,9,Thin,2014,pine,15.536172691336729
121,9,Thin,2016,cedar,5.116330709543213
122,9,Thin,2016,fir,14.460386646992463
123,9,Thin,2016,pine,16.135492576532798
124,9,Thin,2018,cedar,5.400299596750429
125,9,Thin,2018,fir,13.123754600952951
126,9,Thin,2018,pine,15.944075772481888
127,10,Thin,2012,cedar,9.272585249995474
128,10,Thin,2012,fir,14.457109791321844
129,10,Thin,2012,oak,0.2262513942591549
130,10,Thin,2012,pine,10.371075846246619
131,10,Thin,2014,cedar,9.522481492296022
132,10,Thin,2014,fir,14.971408143668578
133,10,Thin,2014,oak,0.22534164138655288
134,10,Thin,2014,pine,10.716995740668766
135,10,Thin,2016,cedar,9.90280400793654
136,10,Thin,2016,fir,15.708338513738143
137,10,Thin,2016,oak,0.23256512282824437
138,10,Thin,2016,pine,11.264276452555062
139,10,Thin,2018,cedar,9.960138073864554
140,10,Thin,2018,fir,16.204044746228007
141,10,Thin,2018,oak,0.23488859239496185
142,10,Thin,2018,pine,11.861172511752429
143,11,Thin,2012,cedar,6.758920609703505
144,11,Thin,2012,fir,18.302201033159253
145,11,Thin,2012,oak,0.21510310366204116
146,11,Thin,2012,other_hardwood,0.18250253489635204
147,11,Thin,2012,pine,11.262450401825163
148,11,Thin,2014,cedar,6.99756384165182
149,11,Thin,2014,fir,19.049103778242397
150,11,Thin,2014,oak,0.20830722788708822
151,11,Thin,2014,other_hardwood,0.18429149737964629
152,11,Thin,2014,pine,11.627189308906939
153,11,Thin,2016,cedar,7.281251839932543
154,11,Thin,2016,fir,17.61314504447189
155,11,Thin,2016,oak,0.21237166338267002
156,11,Thin,2016,pine,12.043873577851194
157,11,Thin,2018,cedar,7.73011343529888
158,11,Thin,2018,fir,17.343286598851655
159,11,Thin,2018,oak,0.21923298900457275
160,11,Thin,2018,pine,12.565919010415218
161,12,None,2012,cedar,24.561390244785482
162,12,None,2012,fir,18.36411658837375
163,12,None,2012,oak,0.07068583470577033
164,12,None,2012,other_hardwood,0.47151160573409306
165,12,None,2012,pine,10.138578354926889
166,12,None,2014,cedar,24.734369826950637
167,12,None,2014,fir,18.831888826185445
168,12,None,2014,oak,0.07147341453073279
169,12,None,2014,other_hardwood,0.4163286581091624
170,12,None,2014,pine,10.327021554264716
171,12,None,2016,cedar,24.726426397192498
172,12,None,2016,fir,17.295735103381073
173,12,None,2016,oak,0.0754767635024948
174,12,None,2016,other_hardwood,0.40000546627988537
175,12,None,2016,pine,10.08344340385639
176,12,None,2018,cedar,24.859418304532902
177,12,None,2018,fir,7.445026991954997
178,12,None,2018,oak,0.08295768100885548
179,12,None,2018,other_hardwood,0.2500075070403628
180,12,None,2018,pine,9.134462074654207
181,13,Burn+Thin,2012,cedar,11.11258825101806
182,13,Burn+Thin,2012,fir,7.278530353484062
183,13,Burn+Thin,2012,pine,12.562969403979348
184,13,Burn+Thin,2014,cedar,11.154528512943484
185,13,Burn+Thin,2014,fir,7.501507073734163
186,13,Burn+Thin,2014,pine,12.904172546097978
187,13,Burn+Thin,2016,cedar,11.15410690684605
188,13,Burn+Thin,2016,fir,7.2983114788938535
189,13,Burn+Thin,2016,pine,12.730771903250778
190,13,Burn+Thin,2018,cedar,11.601579329210878
191,13,Burn+Thin,2018,fir,7.487204100514069
192,13,Burn+Thin,2018,pine,13.195664347796683
193,14,Burn,2012,cedar,27.42385239110382
194,14,Burn,2012,fir,34.138360916328764
195,14,Burn,2012,pine,7.883455881717536
196,14,Burn,2014,cedar,27.580456421562143
197,14,Burn,2014,fir,35.42129136294598
198,14,Burn,2014,pine,8.094298200343147
199,14,Burn,2016,cedar,27.585421883284067
200,14,Burn,2016,fir,31.795657821254338
201,14,Burn,2016,pine,7.563336316962996
202,14,Burn,2018,cedar,27.61295227057271
203,14,Burn,2018,fir,16.711876653696102
204,14,Burn,2018,pine,7.806059256037848
205,15,Burn+Thin,2012,cedar,12.783016152747663
206,15,Burn+Thin,2012,fir,10.483638674692429
207,15,Burn+Thin,2012,pine,6.610537080022079
208,15,Burn+Thin,2014,cedar,13.000601987270665
209,15,Burn+Thin,2014,fir,11.028619915289223
210,15,Burn+Thin,2014,pine,7.069024166213162
211,15,Burn+Thin,2016,cedar,13.480382635751473
212,15,Burn+Thin,2016,fir,11.436409550033003
213,15,Burn+Thin,2016,pine,7.273179692142069
214,15,Burn+Thin,2018,cedar,13.363209411003442
215,15,Burn+Thin,2018,fir,10.181293106707885
216,15,Burn+Thin,2018,pine,6.903739304387734
217,16,Burn,2012,cedar,25.40896630820062
218,16,Burn,2012,fir,28.852914892667386
219,16,Burn,2012,pine,10.956609812013502
220,16,Burn,2014,cedar,25.78576053167515
221,16,Burn,2014,fir,29.32450503821782
222,16,Burn,2014,pine,11.179497084139438
223,16,Burn,2016,cedar,26.248748385674816
224,16,Burn,2016,fir,25.23428666626094
225,16,Burn,2016,pine,11.393618440097233
226,16,Burn,2018,cedar,26.73165044643974
227,16,Burn,2018,fir,13.239013963093091
228,16,Burn,2018,pine,9.748255102672442
229,17,Burn+Thin,2012,cedar,11.752067616887132
230,17,Burn+Thin,2012,fir,10.485056754709674
231,17,Burn+Thin,2012,pine,15.221727628312735
232,17,Burn+Thin,2014,cedar,11.97928985054271
233,17,Burn+Thin,2014,fir,11.142799354954692
234,17,Burn+Thin,2014,pine,15.555133511998081
235,17,Burn+Thin,2016,cedar,12.351570761654665
236,17,Burn+Thin,2016,fir,10.890018956065223
237,17,Burn+Thin,2016,pine,13.887731029443732
238,17,Burn+Thin,2018,cedar,12.74439201640103
239,17,Burn+Thin,2018,fir,6.784993647066735
240,17,Burn+Thin,2018,pine,14.264301087192464
241,18,Burn+Thin,2012,cedar,8.96262786481067
242,18,Burn+Thin,2012,fir,11.42059032202524
243,18,Burn+Thin,2012,pine,8.359812957787481
244,18,Burn+Thin,2014,cedar,7.384865492638752
245,18,Burn+Thin,2014,fir,11.394209670381345
246,18,Burn+Thin,2014,pine,8.58278531471445
247,18,Burn+Thin,2016,cedar,7.59233332623871
248,18,Burn+Thin,2016,fir,11.70801768822836
249,18,Burn+Thin,2016,pine,8.776907379105953
250,18,Burn+Thin,2018,cedar,7.9186439010993075
251,18,Burn+Thin,2018,fir,10.658754103529715
252,18,Burn+Thin,2018,pine,8.991000373463402
253,19,Burn,2012,cedar,17.344067633691925
254,19,Burn,2012,fir,52.44395225156001
255,19,Burn,2012,pine,13.592340598528388
256,19,Burn,2014,cedar,17.566143327715682
257,19,Burn,2014,fir,53.56917911029015
258,19,Burn,2014,pine,13.782823651429485
259,19,Burn,2016,cedar,17.752234695886447
260,19,Burn,2016,fir,45.79156217607512
261,19,Burn,2016,pine,11.50370726432834
262,19,Burn,2018,cedar,18.090455506645732
263,19,Burn,2018,fir,34.74206812293204
264,19,Burn,2018,pine,11.692907500229222
265,20,None,2012,cedar,26.281492944103796
266,20,None,2012,fir,24.96387626026476
267,20,None,2012,pine,21.36459719027824
268,20,None,2014,cedar,26.69608281794566
269,20,None,2014,fir,25.320573562817973
270,20,None,2014,pine,21.914330089763585
271,20,None,2016,cedar,27.172420259061518
272,20,None,2016,fir,16.648065234581626
273,20,None,2016,pine,21.28937786284041
274,20,None,2018,cedar,27.7493912031858
275,20,None,2018,fir,13.911768576566827
276,20,None,2018,pine,20.923751019501683
277,21,Thin,2012,cedar,13.498797495606187
278,21,Thin,2012,fir,8.937732924692536
279,21,Thin,2012,oak,0.2986694682475296
280,21,Thin,2012,pine,17.105518213190905
281,21,Thin,2014,cedar,13.825311510407722
282,21,Thin,2014,fir,9.359168852525347
283,21,Thin,2014,oak,0.2986694682475296
284,21,Thin,2014,pine,17.621705884452922
285,21,Thin,2016,cedar,14.294991065842613
286,21,Thin,2016,fir,9.758687808276239
287,21,Thin,2016,oak,0.2986694682475296
288,21,Thin,2016,pine,18.25962372605685
289,21,Thin,2018,cedar,14.749295361398216
290,21,Thin,2018,fir,10.161381081604196
291,21,Thin,2018,oak,0.3490658503988659
292,21,Thin,2018,pine,18.966174458833887
293,22,Burn+Thin,2012,cedar,4.165974388139695
294,22,Burn+Thin,2012,fir,23.414626568501127
295,22,Burn+Thin,2012,pine,23.350384816642954
296,22,Burn+Thin,2014,cedar,4.055569222981664
297,22,Burn+Thin,2014,fir,23.659630980157573
298,22,Burn+Thin,2014,pine,23.630732691067674
299,22,Burn+Thin,2016,cedar,4.112019715975856
300,22,Burn+Thin,2016,fir,21.40519136701806
301,22,Burn+Thin,2016,pine,23.75590116003601
302,22,Burn+Thin,2018,cedar,4.28434698133308
303,22,Burn+Thin,2018,fir,21.765743665556613
304,22,Burn+Thin,2018,pine,24.202456739128152
305,23,Burn+Thin,2012,cedar,9.763059858052486
306,23,Burn+Thin,2012,fir,19.285338455822963
307,23,Burn+Thin,2012,pine,8.955184035550914
308,23,Burn+Thin,2014,cedar,9.975322438356905
309,23,Burn+Thin,2014,fir,19.96278800498456
310,23,Burn+Thin,2014,pine,9.063776239948437
311,23,Burn+Thin,2016,cedar,10.03659876673286
312,23,Burn+Thin,2016,fir,20.405506041383877
313,23,Burn+Thin,2016,pine,6.312114139531392
314,23,Burn+Thin,2018,cedar,10.37413017243761
315,23,Burn+Thin,2018,fir,19.107005076177312
316,23,Burn+Thin,2018,pine,6.484629027783207
317,24,Thin,2012,cedar,4.983514971374184
318,24,Thin,2012,fir,18.94831537726286
319,24,Thin,2012,pine,18.336808730564734
320,24,Thin,2014,cedar,5.172686845674719
321,24,Thin,2014,fir,19.4965342036221
322,24,Thin,2014,pine,18.76619463314038
323,24,Thin,2016,cedar,5.443856469895513
324,24,Thin,2016,fir,20.062551025028558
325,24,Thin,2016,pine,19.201610648281665
326,24,Thin,2018,cedar,5.757138707305366
327,24,Thin,2018,fir,20.729013726548853
328,24,Thin,2018,pine,19.80111597471076
